id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"478","Welcome to the Punch","2013","Mar","Action","R","99","English","Eran Creevy","Eran Creevy","James McAvoy","49","61","25672","8500000","6787"
"479","Carrie","2013","Nov","Fantasy","R","98","English","Brian De Palma","Stephen King","Sissy Spacek","N/A","74","121161","30000000","34041000"
"480","Insurgent","2015","Mar","Adventure","PG-13","119","English","Robert Schwentke","Brian Duffield","Kate Winslet","42","63","135211","110000000","129995817"
"481","Captain America: The Winter Soldier","2014","Apr","Action","PG-13","136","English","Anthony Russo, Joe Russo","Christopher Markus","Chris Evans","70","78","444741","170000000","259766572"
"482","Soul Surfer","2011","Apr","Biography","PG","106","English","Sean McNamara","Sean McNamara","AnnaSophia Robb","53","71","34108","18000000","43853424"
"483","Dawn of the Planet of the Apes","2014","Jul","Action","PG-13","130","English","Matt Reeves","Mark Bomback","Andy Serkis","79","76","303214","170000000","208545589"
"484","Ricki and the Flash","2015","Aug","Comedy","PG-13","101","English","Jonathan Demme","Diablo Cody","Meryl Streep","54","60","11217","18000000","26822144"
"485","The Imitation Game","2014","Dec","Biography","PG-13","114","English","Morten Tyldum","Graham Moore","Benedict Cumberbatch","73","81","423456","14000000","91121452"
"486","Deliver Us from Evil","2014","Jul","Horror","R","118","English","Scott Derrickson","Scott Derrickson","Eric Bana","40","62","51729","30000000","30523568"
"487","We're the Millers","2013","Aug","Adventure","R","110","English","Rawson Marshall Thurber","Bob Fisher","Jennifer Aniston","44","70","303466","37000000","150368971"
"488","Thor","2011","May","Action","PG-13","115","English","Kenneth Branagh","Ashley Miller","Chris Hemsworth","57","70","504515","150000000","181030624"
"489","Bachelorette","2012","Sep","Comedy","R","87","English","Leslye Headland","Leslye Headland","Kirsten Dunst","53","53","35645","3000000","447954"
"490","Morning Glory","2010","Nov","Comedy","PG-13","107","English","Roger Michell","Aline Brosh McKenna","Rachel McAdams","57","65","56902","40000000","30993544"
"491","Americons","2015","Jan","Action","R","88","English","Theo Avgerinos","Beau Martin Williams (writer","Beau Martin Williams","25","69","59","400000","122410"
"492","Boyhood","2014","Aug","Drama","R","165","English","Richard Linklater","Richard Linklater","Ellar Coltrane","100","80","249869","4000000","25359200"
"493","Underdogs","2013","N/A","Animation","PG","106","Spanish","Juan José Campanella","Michael Broadbridge","Gabriel Almirón","38","67","6272","2500000","33901"
"494","The Collection","2012","Nov","Action","R","82","English","Marcus Dunstan","Patrick Melton","Josh Stewart","36","61","34894","10000000","6842058"
"495","The Ultimate Life","2013","Sep","Drama","PG","105","English","Michael Landon Jr.","Brian Bird","Logan Bartholomew","19","60","749","3100000","1311235"
"496","The Last Exorcism","2010","Aug","Drama","PG-13","87","English","Daniel Stamm","Huck Botko","Patrick Fabian","63","56","40502","1800000","41034350"
"497","Sex Tape","2014","Jul","Comedy","R","94","English","Jake Kasdan","Kate Angelo","Cameron Diaz","36","51","79697","40000000","33880665"
"498","Rubber","2010","Nov","Comedy","R","82","English","Quentin Dupieux","Quentin Dupieux","Stephen Spinella","59","58","24853","500000","98017"
"499","Prince of Persia: The Sands of Time","2010","May","Action","PG-13","116","English","Mike Newell","Boaz Yakin","Jake Gyllenhaal","50","66","215356","200000000","90759676"
"500","Priest","2011","May","Action","PG-13","87","English","Scott Stewart","Cory Goodman","Paul Bettany","41","57","94613","60000000","29136626"
"501","The Spectacular Now","2013","Sep","Comedy","R","95","English","James Ponsoldt","Scott Neustadter","Miles Teller","82","71","96801","2500000","6836909"
"502","And So It Goes","2014","Jul","Comedy","PG-13","94","English","Rob Reiner","Mark Andrus","Michael Douglas","38","57","8295","30000000","15155772"
"503","Neighbors","2014","May","Comedy","R","97","English","Nicholas Stoller","Andrew Jay Cohen","Seth Rogen","68","64","201004","18000000","149771255"
"504","Johnny English Reborn","2011","Oct","Action","PG","101","English","Oliver Parker","Hamish McColl","Roger Barclay","46","63","86545","45000000","8269105"
"505","Don't Be Afraid of the Dark","2010","Aug","Fantasy","R","99","English","Troy Nixey","Guillermo del Toro","Katie Holmes","56","56","39855","25000000","24042490"
"506","In the Heart of the Sea","2015","Dec","Action","PG-13","122","English","Ron Howard","Charles Leavitt","Chris Hemsworth","47","70","33186","100000000","24985612"
"507","The Face of Love","2013","Oct","Drama","PG-13","92","English","Arie Posin","Matthew McDuffie","Annette Bening","51","62","3072","4000000","309427"
"508","A Perfect Man","2013","Oct","Drama","R","95","English","Kees Van Oostrum","Larry Brand","Jeanne Tripplehorn","31","52","1430","5000000","388"
"509","Robin Hood","2010","May","Action","PG-13","140","English","Ridley Scott","Brian Helgeland","Russell Crowe","53","67","205335","200000000","105269730"
"510","The Croods","2013","Mar","Animation","PG","98","English","Kirk De Micco, Chris Sanders","Chris Sanders","Nicolas Cage","55","73","142770","135000000","187165546"
"511","Transformers: Age of Extinction","2014","Jun","Action","PG-13","165","English","Michael Bay","Ehren Kruger","Mark Wahlberg","32","57","231442","210000000","245439076"
"512","The Duke of Burgundy","2014","Jan","Drama","UNRATED","104","English","Peter Strickland","Peter Strickland","Chiara D'Anna","87","67","6107","1000000","32630"
"513","The Other Woman","2014","Apr","Comedy","PG-13","109","English","Nick Cassavetes","Melissa Stack","Cameron Diaz","39","60","99889","40000000","83892218"
"514","The Rover","2014","Jun","Crime","R","103","English","David Michôd","Joel Edgerton","Guy Pearce","64","64","32458","12250000","1089150"
"515","The World's End","2013","Aug","Action","R","109","English","Edgar Wright","Simon Pegg","Thomas Law","81","70","175248","28000000","26003149"
"516","Don Jon","2013","Sep","Comedy","R","90","English","Joseph Gordon-Levitt","Joseph Gordon-Levitt","Joseph Gordon-Levitt","66","66","182881","6000000","24360789"
"517","Non-Stop","2014","Feb","Action","PG-13","106","English","Jaume Collet-Serra","John W. Richardson","Liam Neeson","56","70","191961","50000000","92168600"
"518","Little Boy","2015","Apr","Drama","PG-13","106","English","Alejandro Monteverde","Alejandro Monteverde","Ted Levine","30","74","13768","30000000","6420319"
"519","Plan B","2014","May","Comedy","NOT RATED","103","Spanish","Marco Berger","Marco Berger","Manuel Vignau","N/A","72","2754","50000","5000"
"520","Shutter Island","2010","Feb","Mystery","R","138","English","Martin Scorsese","Laeta Kalogridis","Leonardo DiCaprio","63","81","745000","80000000","128012934"
"521","The Act of Killing","2012","Nov","Documentary","NOT RATED","115","Indonesian","Joshua Oppenheimer, Anonymous, Christine Cynn","Joshua Oppenheimer, Anonymous, Christine Cynn","Anwar Congo","89","82","22033","1000000","483863"
"522","Our Family Wedding","2010","Mar","Comedy","PG-13","103","English","Rick Famuyiwa","Wayne Conley","Forest Whitaker","38","49","5605","14000000","20246959"
"523","Safe","2012","Apr","Action","R","94","English","Boaz Yakin","Boaz Yakin","Jason Statham","55","65","80157","30000000","17120019"
"524","Inside Llewyn Davis","2013","Jan","Drama","R","104","English","Ethan Coen, Joel Coen","Joel Coen","Oscar Isaac","92","74","89273","11000000","13214255"
"525","Think Like a Man","2012","Apr","Comedy","PG-13","122","English","Tim Story","Keith Merryman","Michael Ealy","51","66","33335","12000000","91547205"
"526","After Earth","2013","May","Action","PG-13","100","English","M. Night Shyamalan","Gary Whitta","Jaden Smith","33","49","153702","130000000","60522097"
"527","Real Steel","2011","Oct","Action","PG-13","127","English","Shawn Levy","John Gatins","Hugh Jackman","56","71","247689","110000000","85463309"
"528","Identity Thief","2013","Feb","Comedy","R","111","English","Seth Gordon","Craig Mazin","Jason Bateman","35","57","92955","35000000","134455175"
"529","Super","2010","Jun","Comedy","R","96","English","James Gunn","James Gunn","Rainn Wilson","50","68","59304","2500000","322157"
"530","The Best Exotic Marigold Hotel","2011","May","Comedy","PG-13","124","English","John Madden","Ol Parker","Judi Dench","62","73","72563","10000000","46412041"
"531","Attack the Block","2011","May","Action","R","88","English","Joe Cornish","Joe Cornish","Jodie Whittaker","75","66","79822","13000000","1024175"
"532","Wreck-It Ralph","2012","Nov","Animation","PG","101","English","Rich Moore","Rich Moore","John C. Reilly","72","78","256943","165000000","189412677"
"533","People Like Us","2012","Jun","Drama","PG-13","114","English","Alex Kurtzman","Alex Kurtzman","Chris Pine","49","71","33366","16000000","12412386"
"534","Black or White","2014","Jan","Drama","PG-13","121","English","Mike Binder","Mike Binder","Kevin Costner","45","66","7216","9000000","21569041"
"535","The Martian","2015","Oct","Adventure","PG-13","144","English","Ridley Scott","Drew Goddard","Matt Damon","80","81","341153","108000000","228120056"
"536","The Big Short","2015","Dec","Biography","R","130","English","Adam McKay","Charles Randolph","Ryan Gosling","81","79","106723","28000000","63660681"
"537","Baggage Claim","2013","Sep","Comedy","PG-13","96","English","David E. Talbert","David E. Talbert","Paula Patton","34","50","6789","8500000","21549737"
"538","The Grand Seduction","2013","May","Comedy","PG-13","113","English","Don McKellar","Ken Scott","Percy Hynes White","57","70","10285","12700000","3204783"
"539","Scary Movie 5","2013","Apr","Comedy","PG-13","86","English","Malcolm D. Lee, David Zucker","David Zucker","Ashley Tisdale","11","35","48301","20000000","32014289"
"540","The Man from U.N.C.L.E.","2015","Aug","Action","PG-13","116","English","Guy Ritchie","Guy Ritchie","Henry Cavill","56","73","145170","75000000","45372659"
"541","Joe","2013","Apr","Drama","R","117","English","David Gordon Green","Gary Hawkins","Nicolas Cage","74","69","34832","4000000","373375"
"542","Mandela: Long Walk to Freedom","2013","Dec","Biography","PG-13","141","English","Justin Chadwick","William Nicholson","Idris Elba","60","71","20120","35000000","8324748"
"543","Rockstar","2011","Nov","Music","NOT RATED","159","Hindi","Imtiaz Ali","Imtiaz Ali","Ranbir Kapoor","N/A","76","23732","10920000","985912"
"544","Everything Must Go","2010","Oct","Comedy","R","97","English","Dan Rush","Dan Rush","Will Ferrell","65","64","39036","5000000","2711210"
"545","The Killer Inside Me","2010","Jun","Crime","R","109","English","Michael Winterbottom","John Curran","Casey Affleck","53","61","27846","13000000","214966"
"546","Bucky Larson: Born to Be a Star","2011","Sep","Comedy","R","97","English","Tom Brady","Adam Sandler","Nick Swardson","9","33","9358","10000000","2331318"
"547","In Time","2011","Oct","Action","PG-13","109","English","Andrew Niccol","Andrew Niccol","Justin Timberlake","53","67","292488","40000000","37553932"
"548","The Big Wedding","2013","Apr","Comedy","R","89","English","Justin Zackham","Justin Zackham","Robert De Niro","28","56","36048","35000000","21784432"
"549","The Family","2013","Sep","Comedy","R","111","English","Luc Besson","Luc Besson","Robert De Niro","42","63","84964","30000000","36858978"
"550","The Place Beyond the Pines","2012","Apr","Crime","R","140","English","Derek Cianfrance","Derek Cianfrance","Ryan Gosling","68","73","180810","15000000","21383298"
"551","Gone Girl","2014","Oct","Crime","R","149","English","David Fincher","Gillian Flynn","Ben Affleck","79","81","531783","61000000","167735396"
"552","Joy","2015","Dec","Comedy","PG-13","124","English","David O. Russell","David O. Russell","Jennifer Lawrence","56","66","44165","60000000","55845747"
"553","Transcendence","2014","Apr","Drama","PG-13","119","English","Wally Pfister","Jack Paglen","Johnny Depp","42","63","164020","100000000","23022309"
"554","Premium Rush","2012","Aug","Action","PG-13","91","English","David Koepp","David Koepp","Joseph Gordon-Levitt","66","65","93103","35000000","20275446"
"555","Burnt","2015","Oct","Comedy","R","101","English","John Wells","Steven Knight","Bradley Cooper","42","66","41512","20000000","13650738"
"556","Rio 2","2014","Apr","Animation","G","101","English","Carlos Saldanha","Don Rhymer","Jake T. Austin","49","64","54996","103000000","131020633"
"557","Wild","2014","Dec","Adventure","R","115","English","Jean-Marc Vallée","Nick Hornby","Reese Witherspoon","76","71","79637","15000000","37877959"
"558","Dredd","2012","Sep","Action","R","95","English","Pete Travis","John Wagner","Karl Urban","59","70","196098","35000000","13414714"
"559","Carnage","2011","Nov","Comedy","R","80","English","Roman Polanski","Yasmina Reza","Jodie Foster","61","72","93061","25000000","2547047"
"560","Steve Jobs","2015","Oct","Biography","R","122","English","Danny Boyle","Aaron Sorkin","Michael Fassbender","82","73","67279","30000000","17750583"
"561","Still Alice","2014","Feb","Drama","PG-13","101","English","Richard Glatzer, Wash Westmoreland","Richard Glatzer","Julianne Moore","72","75","76489","4100000","18656400"
"562","The Age of Adaline","2015","Apr","Drama","PG-13","112","English","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","51","72","80047","25000000","42478175"
"563","The Beaver","2011","May","Drama","PG-13","91","English","Jodie Foster","Kyle Killen","Mel Gibson","60","67","38766","21000000","958319"
"564","127 Hours","2010","Jan","Adventure","R","94","English","Danny Boyle","Danny Boyle","James Franco","82","76","269700","18000000","18335230"
"565","The Purge: Anarchy","2014","Jul","Action","R","103","English","James DeMonaco","James DeMonaco","Frank Grillo","50","65","79436","9000000","68547000"
"566","About Last Night","2014","Feb","Comedy","R","100","English","Steve Pink","Leslye Headland","Kevin Hart","62","61","16085","12500000","48637684"
"567","The Lords of Salem","2012","Apr","Horror","R","101","English","Rob Zombie","Rob Zombie","Sheri Moon Zombie","57","51","19462","2500000","1163508"
"568","The Cold Light of Day","2012","Sep","Action","PG-13","93","English","Mabrouk El Mechri","Scott Wiper","Henry Cavill","22","49","27805","20000000","3749061"
"569","The Homesman","2014","May","Drama","R","122","English","Tommy Lee Jones","Tommy Lee Jones","Tommy Lee Jones","68","66","19841","16000000","2428883"
"570","Ghost Rider: Spirit of Vengeance","2011","Feb","Action","PG-13","96","English","Mark Neveldine, Brian Taylor","Scott M. Gimple","Nicolas Cage","32","43","83863","64000000","51774002"
"571","Rush","2013","Sep","Action","R","123","English","Ron Howard","Peter Morgan","Chris Hemsworth","75","82","295051","38000000","26491919"
"572","Big Eyes","2014","Dec","Biography","PG-13","106","English","Tim Burton","Scott Alexander","Amy Adams","62","70","49588","10000000","14479776"
"573","Diary of a Wimpy Kid: Rodrick Rules","2011","Mar","Comedy","PG","99","English","David Bowers","Gabe Sachs","Zachary Gordon","51","66","17872","21000000","52691009"
"574","Moms' Night Out","2014","May","Comedy","PG","98","English","Andrew Erwin, Jon Erwin","Jon Erwin","Sarah Drew","25","54","9966","5000000","10429707"
"575","I Don't Know How She Does It","2011","Sep","Comedy","PG-13","89","English","Douglas McGrath","Aline Brosh McKenna","Sarah Jessica Parker","38","48","15988","24000000","9659074"
"576","Shame","2011","Jan","Drama","NC-17","101","English","Steve McQueen","Steve McQueen","Michael Fassbender","72","73","138599","6500000","4000304"
"577","Labor Day","2013","Jan","Drama","PG-13","111","English","Jason Reitman","Jason Reitman","Kate Winslet","52","69","30254","18000000","13362308"
"578","Kill the Messenger","2014","Oct","Biography","R","112","English","Michael Cuesta","Peter Landesman","Jeremy Renner","60","70","30149","5000000","2450846"
"579","The Ghastly Love of Johnny X","2012","Mar","Comedy","NOT RATED","106","English","Paul Bunnell","Steve Bingen","Will Keenan","N/A","56","334","2000000","2436"
"580","Snow Flower and the Secret Fan","2011","Jun","Drama","PG-13","120","English","Wayne Wang","Angela Workman","Russell Wong","42","60","2960","6000000","1348205"
"581","Gimme Shelter","2013","Dec","Documentary","R","91","English","Albert Maysles, David Maysles, Charlotte Zwerin","Albert Maysles, David Maysles, Charlotte Zwerin","The Rolling Stones","80","79","7823","4200000","1359563"
"582","The Sessions","2012","Nov","Biography","R","95","English","Ben Lewin","Ben Lewin","John Hawkes","79","72","35607","1000000","6002451"
"583","Frankenweenie","2012","Oct","Animation","PG","87","English","Tim Burton","Leonard Ripps","Catherine O'Hara","74","70","70549","39000000","35287788"
"584","Monsters University","2013","Jun","Animation","G","104","English","Dan Scanlon","Dan Scanlon","Billy Crystal","65","74","219736","200000000","268472408"
"585","Desert Dancer","2014","Apr","Biography","PG-13","104","English","Richard Raymond","Jon Croker","Nazanin Boniadi","49","59","1027","4000000","143653"
"586","Red Dawn","2012","Nov","Action","PG-13","93","English","Dan Bradley","Carl Ellsworth","Chris Hemsworth","31","54","61039","65000000","44800706"
"587","Insidious: Chapter 3","2015","Jun","Fantasy","PG-13","97","English","Leigh Whannell","Leigh Whannell","Dermot Mulroney","52","61","45417","10000000","52218558"
"588","Insidious: Chapter 2","2013","Sep","Fantasy","PG-13","106","English","James Wan","Leigh Whannell","Patrick Wilson","40","66","101451","5000000","83529392"
"589","The Boy","2016","Jan","Horror","PG-13","97","English","William Brent Bell","Stacey Menear","Lauren Cohan","42","62","7356","10000000","30778587"
"590","Detention","2010","Apr","Comedy","R","93","English","Joseph Kahn","Joseph Kahn","Alison Woods","45","58","12171","2150000","190"
"591","Prometheus","2012","Jun","Adventure","R","124","English","Ridley Scott","Jon Spaihts","Noomi Rapace","65","70","442170","130000000","126464904"
"592","The Change-Up","2011","Aug","Comedy","R","112","English","David Dobkin","Jon Lucas","Ryan Reynolds","39","64","133410","52000000","37081475"
"593","Devil's Due","2014","Jan","Horror","R","89","English","Matt Bettinelli-Olpin, Tyler Gillett","Lindsay Devlin","Allison Miller","34","40","13458","7000000","15818967"
"594","The Thing","2011","Jun","Horror","R","109","English","John Carpenter","Bill Lancaster","Kurt Russell","N/A","82","245942","38000000","16928670"
"595","Tangled","2010","Nov","Animation","PG","100","English","Nathan Greno, Byron Howard","Dan Fogelman","Mandy Moore","71","78","279511","260000000","200821936"
"596","Super 8","2011","Jun","Action","PG-13","112","English","J.J. Abrams","J.J. Abrams","Joel Courtney","72","71","277157","50000000","127004179"
"597","Straw Dogs","2011","Dec","Crime","UNRATED","113","English","Sam Peckinpah","David Zelag Goodman","Dustin Hoffman","N/A","75","44188","25000000","10324441"
"598","The Innkeepers","2011","Mar","Horror","R","101","English","Ti West","Ti West","Sara Paxton","64","55","26552","750000","77501"
"599","I Spit on Your Grave","2010","Jan","Crime","R","108","English","Steven R. Monroe","Adam Rockoff","Sarah Butler","27","63","54056","2000000","93051"
"600","Fright Night","2011","Aug","Comedy","R","106","English","Craig Gillespie","Marti Noxon","Anton Yelchin","64","64","82700","30000000","18298649"
"601","Rock the Kasbah","2015","Oct","Comedy","R","106","English","Barry Levinson","Mitch Glazer","Bill Murray","29","55","2844","15000000","2982281"
"602","Beautiful Creatures","2013","Feb","Drama","PG-13","124","English","Richard LaGravenese","Richard LaGravenese","Alden Ehrenreich","52","62","64900","60000000","19445217"
"603","What's Your Number?","2011","Sep","Comedy","R","106","English","Mark Mylod","Gabrielle Allan","Anna Faris","35","60","56390","20000000","14008193"
"604","London Boulevard","2010","Nov","Crime","R","103","English","William Monahan","William Monahan","Colin Farrell","52","63","39273","25000000","6911"
"605","Deadfall","2012","Nov","Crime","R","95","English","Stefan Ruzowitzky","Zach Dean","Eric Bana","52","63","31778","12000000","64386"
"606","The Revenant","2015","Jan","Adventure","R","156","English","Alejandro González Iñárritu","Mark L. Smith","Leonardo DiCaprio","76","82","224187","135000000","159164599"
"607","The Book of Life","2014","Oct","Animation","PG","95","English","Jorge R. Gutiérrez","Jorge R. Gutiérrez","Diego Luna","67","73","41746","50000000","50150619"
"608","Inhale","2010","Oct","Drama","NOT RATED","83","English","Baltasar Kormákur","Walter Doty","Mia Stallard","39","67","5333","10000000","4115"
"609","Parker","2013","Jan","Action","R","118","English","Taylor Hackford","John J. McLaughlin","Jason Statham","42","62","86557","35000000","17609982"
"610","Hop","2011","Apr","Animation","PG","95","English","Tim Hill","Cinco Paul","James Marsden","41","55","22995","63000000","108012170"
"611","Snitch","2013","Feb","Action","PG-13","112","English","Ric Roman Waugh","Justin Haythe","Dwayne Johnson","51","65","62587","15000000","42919096"
"612","The Hobbit: The Desolation of Smaug","2013","Dec","Adventure","PG-13","161","English","Peter Jackson","Fran Walsh","Ian McKellen","66","79","459358","225000000","258366855"
"613","Texas Chainsaw 3D","2013","Jan","Horror","R","92","English","John Luessenhop","Adam Marcus","Alexandra Daddario","N/A","48","33868","10000000","34334256"
"614","Money for Nothing","2013","Sep","Comedy","R","100","English","Ramón Menéndez","Mark Bowden","John Cusack","N/A","57","3062","50000","43213"
"615","Upstream Color","2013","Aug","Drama","NOT RATED","96","English","Shane Carruth","Shane Carruth","Amy Seimetz","81","68","20468","50000","415067"
"616","Minions","2015","Jul","Animation","PG","91","English","Kyle Balda, Pierre Coffin","Brian Lynch","Sandra Bullock","56","65","124840","74000000","336045770"
"617","Devil","2010","Sep","Drama","PG-13","80","English","John Erick Dowdle","Brian Nelson","Chris Messina","44","63","101208","10000000","33583175"
"618","The Warrior's Way","2010","Dec","Action","R","100","English","Sngmoo Lee","Sngmoo Lee","Dong-gun Jang","45","63","21777","45000000","5664251"
"619","Bridesmaids","2011","May","Comedy","R","125","English","Paul Feig","Kristen Wiig","Kristen Wiig","75","68","211057","32500000","169106725"
"620","This Is Where I Leave You","2014","Sep","Comedy","R","103","English","Shawn Levy","Jonathan Tropper","Jason Bateman","44","66","50487","19800000","22441091"
"621","Avengers: Age of Ultron","2015","May","Action","PG-13","141","English","Joss Whedon","Joss Whedon","Robert Downey Jr.","66","75","401155","250000000","459005868"
"622","Date Night","2010","Apr","Comedy","PG-13","88","English","Shawn Levy","Josh Klausner","Steve Carell","56","63","124217","55000000","98711404"
"623","Cantinflas","2014","Sep","Biography","PG","102","Spanish","Sebastian del Amo","Edui Tijerina","Óscar Jaenada","44","67","2996","3000000","6261369"
"624","Crooked Arrows","2012","May","Drama","PG-13","105","English","Steve Rash","Brad Riddell","Brandon Routh","42","60","1496","13000000","1830475"
"625","Dark Shadows","2012","May","Comedy","PG-13","113","English","Tim Burton","Seth Grahame-Smith","Johnny Depp","55","62","191374","100000000","79711678"
"626","The Master","2012","Sep","Drama","R","144","English","Paul Thomas Anderson","Paul Thomas Anderson","Joaquin Phoenix","86","71","100728","32000000","16247159"
"627","Battle of the Year","2013","Sep","Music","PG-13","110","English","Benson Lee","Brin Hill","Josh Holloway","29","50","7673","20000000","8792656"
"628","Pixels","2015","Jul","Action","PG-13","106","English","Chris Columbus","Tim Herlihy","Adam Sandler","27","57","74411","88000000","78747585"
"629","Vampires Suck","2010","Aug","Comedy","PG-13","82","English","Jason Friedberg, Aaron Seltzer","Jason Friedberg","Jenn Proske","18","35","38335","20000000","36658108"
"630","The 5th Wave","2016","Jan","Action","PG-13","112","English","J Blakeson","Susannah Grant","Chloë Grace Moretz","33","56","13202","38000000","29519370"
"631","Salt","2010","Jul","Action","PG-13","100","English","Phillip Noyce","Kurt Wimmer","Angelina Jolie","65","64","239529","110000000","118311368"
"632","The Interview","2014","Dec","Comedy","R","112","English","Evan Goldberg, Seth Rogen","Dan Sterling","James Franco","52","66","236530","44000000","6105175"
"633","Scott Pilgrim vs. the World","2010","Aug","Action","PG-13","112","English","Edgar Wright","Michael Bacall","Michael Cera","69","75","263129","60000000","31494270"
"634","Paul Blart: Mall Cop 2","2015","Apr","Action","PG","94","English","Andy Fickman","Kevin James","Kevin James","13","44","21219","30000000","71038190"
"635","Locker 13","2014","Mar","Thriller","R","90","English","Bruce Dellis, Jason Marsden, Matthew Mebane, Adam Montierth, Donovan Montierth","Bruce Dellis","Ricky Schroder","22","47","234","300000","2468"
"636","The Crazies","2010","Feb","Horror","R","101","English","Breck Eisner","Scott Kosar","Timothy Olyphant","55","65","90722","20000000","39103378"
"637","Mission: Impossible - Ghost Protocol","2011","Dec","Action","PG-13","133","English","Brad Bird","Bruce Geller","Tom Cruise","73","74","352618","145000000","209397903"
"638","Cloud Atlas","2012","Oct","Drama","R","172","English","Tom Tykwer, Lana Wachowski, Lilly Wachowski","David Mitchell","Tom Hanks","55","75","276811","102000000","27108272"
"639","Filly Brown","2012","Apr","Drama","R","80","English","Youssef Delara, Michael D. Olmos","David Bianchi","Gina Rodriguez","57","56","888","427000","2833383"
"640","Copperhead","2013","Jun","Drama","PG-13","120","English","Ron Maxwell","Harold Frederic","François Arnaud","34","55","626","12000000","171740"
"641","Bad Blood... the Hunger","2012","Oct","Horror","R","107","English","Conrad Janis","Maria Grimm","Piper Laurie","N/A","51","52","935000","3731"
"642","Despicable Me 2","2013","Jul","Animation","PG","98","English","Pierre Coffin, Chris Renaud","Cinco Paul","Steve Carell","62","75","271867","76000000","367157955"
"643","The Wedding Ringer","2015","Jan","Comedy","R","101","English","Jeremy Garelick","Jeremy Garelick","Kevin Hart","35","67","47847","23000000","64460211"
"644","Draft Day","2014","Apr","Drama","R","110","English","Ivan Reitman","Scott Rothman","Chris Berman","54","68","37010","27000000","28831145"
"645","RED","2010","Oct","Action","PG-13","111","English","Robert Schwentke","Jon Hoeber","Bruce Willis","60","71","230792","58000000","90356857"
"646","The Watch","2012","Jul","Action","R","102","English","Akiva Schaffer","Jared Stern","Ben Stiller","36","57","101221","68000000","34350553"
"647","Abduction","2011","Sep","Action","PG-13","106","English","John Singleton","Shawn Christensen","Jake Andolina","25","50","63402","35000000","28064226"
"648","Machete Kills","2013","Oct","Action","R","107","English","Robert Rodriguez","Kyle Ward","Danny Trejo","41","56","56611","12000000","8008161"
"649","Rock of Ages","2012","Jun","Comedy","PG-13","123","English","Adam Shankman","Justin Theroux","Julianne Hough","47","59","60292","75000000","38509342"
"650","The Help","2011","Aug","Drama","PG-13","146","English","Tate Taylor","Tate Taylor","Emma Stone","62","81","305929","25000000","169708112"
"651","R100","2013","Jan","Comedy","UNRATED","99","Japanese","Hitoshi Matsumoto","Hitoshi Matsumoto","Mao Daichi","57","61","1551","5500000","22770"
"652","Mr. Popper's Penguins","2011","Jun","Comedy","PG","94","English","Mark Waters","Sean Anders","Jim Carrey","53","60","64558","55000000","68218041"
"653","Silent Hill: Revelation 3D","2012","Oct","Horror","R","95","English","Michael J. Bassett","Michael J. Bassett","Adelaide Clemens","15","50","47965","20000000","17529157"
"654","Magic Mike XXL","2015","Jul","Comedy","R","115","English","Gregory Jacobs","Reid Carolin","Channing Tatum","60","57","32818","14800000","66009973"
"655","Pitch Perfect 2","2015","May","Comedy","PG-13","115","English","Elizabeth Banks","Kay Cannon","Anna Kendrick","63","65","84121","29000000","183436380"
"656","Crazy, Stupid, Love.","2011","Jul","Comedy","PG-13","118","English","Glenn Ficarra, John Requa","Dan Fogelman","Steve Carell","68","74","363295","50000000","84351197"
"657","Maleficent","2014","May","Action","PG","97","English","Robert Stromberg","Linda Woolverton","Angelina Jolie","56","70","240316","180000000","241410378"
"658","Eat Pray Love","2010","Aug","Drama","PG-13","133","English","Ryan Murphy","Ryan Murphy","Julia Roberts","50","57","60497","60000000","80574010"
"659","Riddick","2013","Sep","Action","R","119","English","David Twohy","David Twohy","Vin Diesel","49","64","120337","38000000","42025135"
"660","Earth to Echo","2014","Jul","Adventure","PG","91","English","Dave Green","Henry Gayden","Teo Halm","53","58","14930","13000000","38753987"
"661","Woman in Gold","2015","Apr","Biography","PG-13","109","English","Simon Curtis","Alexi Kaye Campbell","Helen Mirren","51","73","29083","11000000","33305037"
"662","Slaughter Creek","2011","Apr","Drama","NOT RATED","94","English","Brian Skiba, Liam Owen","Michael Z. Gordon","Justin Henry","N/A","31","122","1000000","116487"
"663","Stone","2010","Oct","Drama","R","105","English","John Curran","Angus MacLachlan","Robert De Niro","58","54","34330","22000000","1796024"
"664","Cinderella","2015","Mar","Animation","APPROVED","74","English","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Charles Perrault","Ilene Woods","N/A","73","99040","95000000","201148159"
"665","Mr. Peabody & Sherman","2014","Mar","Animation","PG","92","English","Rob Minkoff","Jay Ward","Ty Burrell","59","69","45317","145000000","111392580"
"666","Ramona and Beezus","2010","Jul","Adventure","G","103","English","Elizabeth Allen Rosenbaum","Laurie Craig","Joey King","56","67","13420","15000000","26161406"
"667","Inherent Vice","2014","Jan","Comedy","R","148","English","Paul Thomas Anderson","Paul Thomas Anderson","Joanna Newsom","81","67","56602","20000000","8110975"
"668","The Adjustment Bureau","2011","Mar","Romance","PG-13","106","English","George Nolfi","George Nolfi","Matt Damon","60","71","194839","50200000","62495645"
"669","Honeymoon","2014","Sep","Horror","R","87","English","Leigh Janiak","Phil Graziadei","Rose Leslie","65","56","15210","1000000","7959"
